x;q;l
0;"0,000355";10000
1;"0,000226";"9996,45"
2;"0,000195";"9994,190802"
3;"0,00018";"9992,241935"
4;"0,000171";"9990,443332"
5;"0,000165";"9988,734966"
6;"0,000162";"9987,086824"
7;"0,000161";"9985,468916"
8;"0,000162";"9983,861256"
9;"0,000168";"9982,24387"
10;"0,000179";"9980,566853"
11;"0,000198";"9978,780332"
12;"0,000224";"9976,804533"
13;"0,000256";"9974,569729"
14;"0,00029";"9972,016239"
15;"0,000324";"9969,124355"
16;"0,000355";"9965,894358"
17;"0,00038";"9962,356466"
18;"0,0004";"9958,57077"
19;"0,000414";"9954,587342"
20;"0,000423";"9950,466143"
21;"0,000428";"9946,257096"
22;"0,00043";"9942,000098"
23;"0,00043";"9937,725038"
24;"0,000431";"9933,451816"
25;"0,000433";"9929,170498"
26;"0,000437";"9924,871167"
27;"0,000445";"9920,533999"
28;"0,000455";"9916,119361"
29;"0,00047";"9911,607527"
30;"0,000488";"9906,949071"
31;"0,000511";"9902,11448"
32;"0,000539";"9897,0545"
33;"0,000572";"9891,719987"
34;"0,000609";"9886,061923"
35;"0,000652";"9880,041312"
36;"0,000701";"9873,599525"
37;"0,000756";"9866,678131"
38;"0,000817";"9859,218923"
39;"0,000885";"9851,163941"
40;"0,00096";"9842,445661"
41;"0,001044";"9832,996913"
42;"0,001136";"9822,731264"
43;"0,001237";"9811,572641"
44;"0,001348";"9799,435726"
45;"0,001471";"9786,226087"
46;"0,001606";"9771,830548"
47;"0,001754";"9756,136988"
48;"0,001916";"9739,024724"
49;"0,002095";"9720,364753"
50;"0,002291";"9700,000589"
51;"0,002506";"9677,777887"
52;"0,002742";"9653,525376"
53;"0,003001";"9627,055409"
54;"0,003285";"9598,164616"
55;"0,003597";"9566,634645"
56;"0,003939";"9532,22346"
57;"0,004314";"9494,676032"
58;"0,004727";"9453,716"
59;"0,005178";"9409,028284"
60;"0,005675";"9360,308336"
61;"0,006219";"9307,188586"
62;"0,006817";"9249,30718"
63;"0,007472";"9186,254653"
64;"0,008191";"9117,614958"
65;"0,00898";"9042,932574"
66;"0,009845";"8961,72704"
67;"0,010796";"8873,498837"
68;"0,011839";"8777,700544"
69;"0,012984";"8673,781347"
70;"0,014241";"8561,16097"
71;"0,015621";"8439,241476"
72;"0,017135";"8307,412085"
73;"0,018798";"8165,064579"
74;"0,020624";"8011,577695"
75;"0,022629";"7846,346917"
76;"0,024831";"7668,791932"
77;"0,02725";"7478,36816"
78;"0,029905";"7274,582628"
79;"0,032824";"7057,036234"
80;"0,036031";"6825,396077"
81;"0,039555";"6579,470231"
82;"0,043428";"6319,219286"
83;"0,047685";"6044,788231"
84;"0,052368";"5756,542504"
85;"0,057515";"5455,083886"
86;"0,063182";"5141,334736"
87;"0,069415";"4816,494925"
88;"0,076277";"4482,15793"
89;"0,083837";"4140,272369"
90;"0,092162";"3793,164355"
91;"0,101333";"3443,578741"
92;"0,111451";"3094,630577"
93;"0,122605";"2749,730904"
94;"0,134913";"2412,600147"
95;"0,148502";"2087,109023"
96;"0,163504";"1777,169159"
97;"0,180089";"1486,594893"
98;"0,198423";"1218,875505"
99;"0,218714";"977,0225709"
100;"0,241183";"763,3340563"
101;"0,266065";"579,2308586"
102;"0,293632";"425,1178002"
103;"0,324167";"300,2896103"
104;"0,357979";"202,9456282"
105;"0,395492";"130,2953552"
106;"0,436978";"78,76458456"
107;"0,482869";"44,34619393"
108;"0,533397";"22,93279161"
109;"0,58877";"10,70050936"
110;"0,651328";"4,400370466"
111;"0,736678";"1,534285971"
112;"0,828202";"0,40401125"
113;"0,916575";"0,069408325"
114;"0,980947";"0,005790389"
115;"0,999816";"0,000110324"
116;1;"2,02997E-08"
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
