x;q;l
0;"0,000371";10000
1;"0,000242";"9996,292025"
2;"0,000213";"9993,872073"
3;"0,000199";"9991,744178"
4;"0,000192";"9989,754691"
5;"0,000188";"9987,840465"
6;"0,000186";"9985,966048"
7;"0,000187";"9984,106733"
8;"0,000189";"9982,243005"
9;"0,000196";"9980,351540"
10;"0,000209";"9978,394380"
11;"0,000233";"9976,307342"
12;"0,000270";"9973,987227"
13;"0,000324";"9971,294593"
14;"0,000394";"9968,067552"
15;"0,000476";"9964,144842"
16;"0,000568";"9959,398420"
17;"0,000662";"9953,743375"
18;"0,000752";"9947,158581"
19;"0,000833";"9939,682353"
20;"0,000902";"9931,403718"
21;"0,000957";"9922,444886"
22;"0,000998";"9912,949155"
23;"0,001025";"9903,059776"
24;"0,001040";"9892,910361"
25;"0,001047";"9882,617940"
26;"0,001048";"9872,268811"
27;"0,001046";"9861,921376"
28;"0,001043";"9851,608261"
29;"0,001042";"9841,334762"
30;"0,001045";"9831,082220"
31;"0,001053";"9820,811875"
32;"0,001069";"9810,467257"
33;"0,001093";"9799,978760"
34;"0,001126";"9789,265992"
35;"0,001170";"9778,239568"
36;"0,001224";"9766,800346"
37;"0,001290";"9754,846119"
38;"0,001367";"9742,266191"
39;"0,001458";"9728,946151"
40;"0,001561";"9714,765499"
41;"0,001679";"9699,598706"
42;"0,001812";"9683,313062"
43;"0,001960";"9665,769547"
44;"0,002126";"9646,820000"
45;"0,002311";"9626,307681"
46;"0,002515";"9604,063755"
47;"0,002740";"9579,910628"
48;"0,002989";"9553,657840"
49;"0,003263";"9525,100553"
50;"0,003565";"9494,017876"
51;"0,003896";"9460,175037"
52;"0,004260";"9423,319320"
53;"0,004659";"9383,177723"
54;"0,005098";"9339,459416"
55;"0,005578";"9291,851306"
56;"0,006106";"9240,018613"
57;"0,006684";"9183,602410"
58;"0,007318";"9122,217271"
59;"0,008014";"9055,456586"
60;"0,008776";"8982,889743"
61;"0,009610";"8904,060066"
62;"0,010526";"8818,487793"
63;"0,011529";"8725,667132"
64;"0,012627";"8625,070314"
65;"0,013832";"8516,160381"
66;"0,015151";"8398,367977"
67;"0,016596";"8271,123572"
68;"0,018179";"8133,855477"
69;"0,019914";"7985,990354"
70;"0,021814";"7826,960393"
71;"0,023894";"7656,225012"
72;"0,026171";"7473,285609"
73;"0,028663";"7277,703586"
74;"0,031392";"7069,102188"
75;"0,034378";"6847,186648"
76;"0,037646";"6611,792777"
77;"0,041222";"6362,887556"
78;"0,045131";"6100,598825"
79;"0,049412";"5825,269954"
80;"0,054094";"5537,432598"
81;"0,059213";"5237,888793"
82;"0,064809";"4927,735162"
83;"0,070923";"4608,375013"
84;"0,077606";"4281,533028"
85;"0,084900";"3949,259256"
86;"0,092859";"3613,966247"
87;"0,101542";"3278,377870"
88;"0,111011";"2945,483477"
89;"0,121327";"2618,502946"
90;"0,132568";"2300,807313"
91;"0,144808";"1995,794005"
92;"0,158118";"1706,787008"
93;"0,172581";"1436,912797"
94;"0,188281";"1188,928239"
95;"0,205300";"965,075182"
96;"0,223746";"766,945179"
97;"0,243699";"595,344491"
98;"0,265255";"450,259549"
99;"0,288544";"330,825980"
100;"0,313596";"235,368210"
101;"0,340524";"161,557578"
102;"0,369367";"106,543361"
103;"0,406268";"67,189783"
104;"0,448631";"39,892756"
105;"0,495199";"21,995613"
106;"0,546163";"11,103400"
107;"0,601691";"5,039139"
108;"0,661565";"2,007136"
109;"0,725026";"0,679285"
110;"0,790594";"0,186786"
111;"0,855636";"0,039114"
112;"0,915352";"0,005647"
113;"0,962980";"0,000478"
114;"0,991263";"0,000018"
115;"0,999622";"0,000000"
116;"1,000000";"0,000000"
117;"1,000000";"0,000000"
118;"0,000000";"0,000000"
119;"0,000000";"0,000000"
120;"0,000000";"0,000000"
121;"0,000000";"0,000000"
122;"0,000000";"0,000000"
123;"0,000000";"0,000000"
124;"0,000000";"0,000000"
125;"0,000000";"0,000000"
126;"0,000000";"0,000000"
